vehicle_id,timestamp,speed,lead_vehicle_distance,relative_speed,lane_offset,steering_angle,brake_pressure,object_count,pedestrian_count,autopilot_engaged,traffic_light_state,weather_condition,road_type,scenario_type,time_gap,closing_risk,lane_departure_risk,hard_brake_risk,crowded_scene_risk,low_visibility_flag,red_light_flag,urban_flag,highway_flag,driver_intervention,near_collision,intervention_or_collision,is_risky_event
EV_001,2026-01-01 01:45:00,34.081,61.042,-1.311,0.465,5.913,0.08,4,2,1,none,rain,urban,normal_driving,1.7910859423138992,1.311,0.465,0.08,10,1,0,1,0,0,0,0,0
EV_001,2026-01-01 01:50:00,44.837,44.321,-20.515,0.286,-7.587,0.198,4,0,1,green,clear,highway,normal_driving,0.9884916475232508,20.515,0.286,0.198,4,0,0,0,1,0,0,0,0
EV_001,2026-01-01 01:55:00,72.241,34.475,-1.146,-0.15,-1.233,0.091,4,0,1,green,clear,highway,normal_driving,0.4772220761063662,1.146,0.15,0.091,4,0,0,0,1,0,0,0,0
EV_001,2026-01-01 02:00:00,36.825,55.195,-0.982,0.162,3.121,0.162,3,1,1,yellow,snow,highway,normal_driving,1.498845892735913,0.982,0.162,0.162,6,1,0,0,1,0,0,0,0
EV_001,2026-01-01 02:05:00,58.104,63.488,1.749,-0.121,6.555,0.168,6,0,1,green,clear,suburban,normal_driving,1.0926614346688697,0.0,0.121,0.168,6,0,0,0,0,0,0,0,0
EV_001,2026-01-01 02:10:00,34.412,40.976,-4.143,0.223,-2.253,0.235,10,2,1,red,clear,urban,red_light_risk,1.190747413692898,4.143,0.223,0.235,16,0,1,1,0,1,0,1,1
EV_001,2026-01-01 02:15:00,54.926,51.047,8.981,-0.36,-0.492,0.144,2,0,1,red,clear,highway,normal_driving,0.9293777081892,0.0,0.36,0.144,2,0,1,0,1,0,0,0,0
EV_001,2026-01-01 02:20:00,43.171,52.561,-4.242,-0.198,-0.428,0.067,4,2,1,none,fog,highway,normal_driving,1.2175071228370897,4.242,0.198,0.067,10,1,0,0,1,0,0,0,0
EV_001,2026-01-01 02:25:00,46.163,53.693,-4.378,-0.307,9.497,0.125,3,0,1,red,fog,urban,normal_driving,1.1631176483330807,4.378,0.307,0.125,3,1,1,1,0,0,0,0,0
EV_001,2026-01-01 02:30:00,73.285,6.904,-19.442,-0.226,-0.748,0.869,3,2,1,none,clear,highway,hard_brake,0.09420754588251348,19.442,0.226,0.869,9,0,0,0,1,1,0,1,1
EV_001,2026-01-01 02:35:00,38.018,53.931,-16.633,-0.005,-2.468,0.049,4,1,1,green,clear,suburban,normal_driving,1.4185648903151138,16.633,0.005,0.049,7,0,0,0,0,0,0,0,0
EV_001,2026-01-01 02:40:00,54.895,51.771,6.527,0.142,1.144,0.293,7,2,1,yellow,fog,highway,normal_driving,0.9430913562255214,0.0,0.142,0.293,13,1,0,0,1,0,0,0,0
EV_001,2026-01-01 02:45:00,79.805,15.826,-11.202,0.057,-2.33,0.171,1,0,0,yellow,clear,urban,normal_driving,0.19830837666812856,11.202,0.057,0.171,1,0,0,1,0,0,0,0,0
EV_001,2026-01-01 02:50:00,48.283,67.575,-4.067,-0.31,0.734,0.178,6,0,1,red,fog,highway,normal_driving,1.3995609220636662,4.067,0.31,0.178,6,1,1,0,1,0,0,0,0
EV_001,2026-01-01 02:55:00,76.269,39.024,2.002,0.201,-9.305,0.271,4,0,1,yellow,clear,highway,normal_driving,0.5116626676631396,0.0,0.201,0.271,4,0,0,0,1,0,0,0,0
EV_001,2026-01-01 03:00:00,75.47,44.515,6.625,0.252,-1.987,0.181,4,1,1,yellow,clear,urban,normal_driving,0.58983702133298,0.0,0.252,0.181,7,0,0,1,0,0,0,0,0
EV_001,2026-01-01 03:05:00,71.971,37.896,0.218,-0.034,6.825,0.191,6,2,1,green,clear,urban,normal_driving,0.5265454141251337,0.0,0.034,0.191,12,0,0,1,0,0,0,0,0
EV_001,2026-01-01 03:10:00,47.768,9.439,-23.766,-0.124,1.675,0.804,4,1,1,none,clear,highway,hard_brake,0.19760090437112712,23.766,0.124,0.804,7,0,0,0,1,1,0,1,1
EV_001,2026-01-01 03:15:00,41.495,42.764,-0.053,-0.33,3.218,0.137,3,1,0,none,clear,highway,normal_driving,1.0305819978310642,0.053,0.33,0.137,6,0,0,0,1,0,0,0,0
EV_001,2026-01-01 03:20:00,85.88,45.888,0.111,-0.006,0.792,0.138,2,1,1,green,rain,urban,normal_driving,0.5343269678621332,0.0,0.006,0.138,5,1,0,1,0,0,0,0,0
EV_001,2026-01-01 03:25:00,69.953,13.899,-2.742,-0.093,-5.63,0.088,2,0,1,red,clear,highway,normal_driving,0.19869054936886194,2.742,0.093,0.088,2,0,1,0,1,0,0,0,0
EV_001,2026-01-01 03:30:00,56.185,43.045,4.004,-0.263,-1.403,0.132,7,1,1,green,clear,highway,normal_driving,0.7661297499332562,0.0,0.263,0.132,10,0,0,0,1,0,0,0,0
EV_001,2026-01-01 03:35:00,66.088,42.226,-4.182,0.262,-2.817,0.037,6,2,1,none,clear,suburban,normal_driving,0.6389359641689869,4.182,0.262,0.037,12,0,0,0,0,0,0,0,0
EV_001,2026-01-01 03:40:00,80.863,55.084,-4.983,-0.105,-5.154,0.158,1,1,1,red,clear,urban,normal_driving,0.681201538404462,4.983,0.105,0.158,4,0,1,1,0,0,0,0,0
EV_001,2026-01-01 03:45:00,58.072,59.74,13.324,0.254,-7.363,0.048,2,1,1,red,clear,highway,normal_driving,1.0287229645956744,0.0,0.254,0.048,5,0,1,0,1,0,0,0,0
EV_001,2026-01-01 03:50:00,43.29,60.805,-7.595,0.658,1.973,0.165,2,0,1,red,clear,urban,normal_driving,1.4045969045969047,7.595,0.658,0.165,2,0,1,1,0,0,0,0,0
EV_001,2026-01-01 03:55:00,50.774,48.638,1.439,-0.084,7.9,0.146,7,0,1,none,clear,suburban,normal_driving,0.9579312246425336,0.0,0.084,0.146,7,0,0,0,0,0,0,0,0
EV_001,2026-01-01 04:00:00,67.775,46.794,6.534,0.155,5.145,0.235,6,2,1,yellow,fog,highway,normal_driving,0.6904315750645518,0.0,0.155,0.235,12,1,0,0,1,0,0,0,0
EV_001,2026-01-01 04:05:00,54.525,55.223,0.227,0.007,3.753,0.109,2,0,1,green,clear,highway,normal_driving,1.012801467216873,0.0,0.007,0.109,2,0,0,0,1,0,0,0,0
EV_001,2026-01-01 04:10:00,59.951,16.055,-5.205,0.681,3.471,0.173,8,1,1,none,fog,suburban,low_visibility,0.2678020383313039,5.205,0.681,0.173,11,1,0,0,0,1,0,1,1
EV_001,2026-01-01 04:15:00,34.818,18.621,-6.981,0.198,-1.201,0.086,3,0,1,none,clear,highway,normal_driving,0.534809581251077,6.981,0.198,0.086,3,0,0,0,1,0,0,0,0
EV_001,2026-01-01 04:20:00,53.011,32.616,18.478,-0.166,4.668,0.28,3,0,1,none,clear,highway,normal_driving,0.6152685291731904,0.0,0.166,0.28,3,0,0,0,1,0,0,0,0
EV_001,2026-01-01 04:25:00,50.519,27.396,6.367,0.262,1.374,0.12,5,1,1,green,fog,suburban,normal_driving,0.5422910192204914,0.0,0.262,0.12,8,1,0,0,0,0,0,0,0
EV_001,2026-01-01 04:30:00,62.903,75.153,-1.416,-0.2,-5.517,0.092,3,1,1,none,clear,urban,normal_driving,1.1947442888256523,1.416,0.2,0.092,6,0,0,1,0,0,0,0,0
EV_001,2026-01-01 04:35:00,70.886,28.023,-13.115,0.116,0.96,0.174,12,1,1,green,rain,highway,normal_driving,0.39532488784809416,13.115,0.116,0.174,15,1,0,0,1,0,0,0,0
EV_001,2026-01-01 04:40:00,52.291,45.051,6.542,-0.372,0.099,0.157,5,2,1,red,fog,highway,normal_driving,0.8615440515576295,0.0,0.372,0.157,11,1,1,0,1,0,0,0,0
EV_001,2026-01-01 04:45:00,52.764,38.93,-2.904,0.044,-7.24,0.227,6,1,1,green,clear,urban,normal_driving,0.7378136608293533,2.904,0.044,0.227,9,0,0,1,0,0,0,0,0
EV_001,2026-01-01 04:50:00,34.588,38.903,-9.839,-0.044,2.595,0.229,4,1,1,green,fog,highway,normal_driving,1.1247542500289116,9.839,0.044,0.229,7,1,0,0,1,0,0,0,0
EV_001,2026-01-01 04:55:00,65.775,41.901,-5.687,-0.167,0.297,0.132,10,0,1,green,fog,urban,normal_driving,0.6370353477765108,5.687,0.167,0.132,10,1,0,1,0,0,0,0,0
EV_001,2026-01-01 05:00:00,46.883,72.014,-0.321,-0.358,0.512,0.096,4,0,1,green,clear,urban,normal_driving,1.5360365164345284,0.321,0.358,0.096,4,0,0,1,0,0,0,0,0
EV_001,2026-01-01 05:05:00,59.466,52.183,-0.193,-0.143,-1.053,0.118,6,0,0,yellow,clear,highway,normal_driving,0.8775266538862543,0.193,0.143,0.118,6,0,0,0,1,0,0,0,0
EV_001,2026-01-01 05:10:00,42.981,40.783,14.381,0.863,-2.285,0.196,14,1,1,yellow,snow,suburban,low_visibility,0.9488611246829994,0.0,0.863,0.196,17,1,0,0,0,1,0,1,1
EV_001,2026-01-01 05:15:00,48.044,44.638,-1.775,-0.304,2.601,0.275,8,0,1,green,clear,highway,normal_driving,0.9291066522354509,1.775,0.304,0.275,8,0,0,0,1,0,0,0,0
EV_001,2026-01-01 05:20:00,52.893,33.606,-3.299,-0.353,1.929,0.116,8,1,1,green,clear,urban,normal_driving,0.6353581759401056,3.299,0.353,0.116,11,0,0,1,0,0,0,0,0
EV_001,2026-01-01 05:25:00,44.341,24.554,-5.38,-0.571,-1.958,0.2,7,1,1,green,clear,urban,normal_driving,0.5537538621140704,5.38,0.571,0.2,10,0,0,1,0,0,0,0,0
EV_001,2026-01-01 05:30:00,39.099,61.096,8.376,1.461,10.525,0.142,5,0,1,green,clear,highway,lane_departure,1.5625975088876953,0.0,1.461,0.142,5,0,0,0,1,1,0,1,1
EV_001,2026-01-01 05:35:00,61.046,12.692,5.658,0.243,4.379,0.137,4,0,1,green,clear,highway,normal_driving,0.20790879009271698,0.0,0.243,0.137,4,0,0,0,1,0,0,0,0
EV_001,2026-01-01 05:40:00,57.291,31.582,-7.049,0.893,7.887,0.133,11,2,0,yellow,fog,urban,low_visibility,0.5512558691592048,7.049,0.893,0.133,17,1,0,1,0,0,0,0,1
EV_001,2026-01-01 05:45:00,58.319,35.239,8.585,-0.041,2.189,0.077,7,3,0,red,clear,urban,normal_driving,0.6042456146367392,0.0,0.041,0.077,16,0,1,1,0,0,0,0,0
EV_001,2026-01-01 05:50:00,54.23,49.931,2.571,0.105,6.455,0.186,9,1,1,green,clear,highway,normal_driving,0.9207265351281578,0.0,0.105,0.186,12,0,0,0,1,0,0,0,0
EV_001,2026-01-01 05:55:00,36.367,40.447,-10.345,-0.15,0.679,0.094,7,0,1,green,clear,urban,normal_driving,1.1121896224599226,10.345,0.15,0.094,7,0,0,1,0,0,0,0,0
EV_001,2026-01-01 06:00:00,63.16,53.632,-2.021,0.098,-0.756,0.194,3,0,1,none,clear,highway,normal_driving,0.84914502849905,2.021,0.098,0.194,3,0,0,0,1,0,0,0,0
EV_001,2026-01-01 06:05:00,47.76,21.198,-1.074,-0.04,-3.877,0.194,4,3,1,green,clear,suburban,normal_driving,0.4438442211055277,1.074,0.04,0.194,13,0,0,0,0,0,0,0,0
EV_001,2026-01-01 06:10:00,51.593,51.018,3.997,-0.324,4.598,0.126,6,1,0,red,clear,urban,normal_driving,0.9888550772391603,0.0,0.324,0.126,9,0,1,1,0,0,0,0,0
EV_001,2026-01-01 06:15:00,50.751,51.803,9.797,0.406,-6.148,0.171,6,1,0,red,snow,highway,normal_driving,1.0207286555929933,0.0,0.406,0.171,9,1,1,0,1,0,0,0,0
EV_001,2026-01-01 06:20:00,35.523,53.45,-8.806,-0.178,-2.346,0.134,3,2,1,yellow,clear,highway,normal_driving,1.5046589533541648,8.806,0.178,0.134,9,0,0,0,1,0,0,0,0
EV_001,2026-01-01 06:25:00,63.34,74.198,-2.084,0.432,0.386,0.096,5,1,1,green,clear,urban,normal_driving,1.171424060625197,2.084,0.432,0.096,8,0,0,1,0,0,0,0,0
EV_001,2026-01-01 06:30:00,41.892,40.254,9.705,0.035,9.277,0.181,4,1,0,green,clear,highway,normal_driving,0.9608994557433399,0.0,0.035,0.181,7,0,0,0,1,0,0,0,0
EV_001,2026-01-01 06:35:00,32.966,52.62,-8.827,-0.538,1.554,0.349,8,4,1,green,clear,highway,normal_driving,1.5961900139537704,8.827,0.538,0.349,20,0,0,0,1,0,0,0,0
EV_001,2026-01-01 06:40:00,55.606,47.557,-1.801,0.049,9.86,0.126,4,0,1,green,clear,highway,normal_driving,0.855249433514369,1.801,0.049,0.126,4,0,0,0,1,0,0,0,0
EV_001,2026-01-01 06:45:00,54.154,52.298,0.516,-0.494,-3.757,0.138,5,1,1,green,snow,highway,normal_driving,0.9657273700926986,0.0,0.494,0.138,8,1,0,0,1,0,0,0,0
EV_001,2026-01-01 06:50:00,48.236,38.836,-2.938,-0.177,1.21,0.1,5,1,1,green,clear,suburban,normal_driving,0.8051248030516627,2.938,0.177,0.1,8,0,0,0,0,0,0,0,0
EV_001,2026-01-01 06:55:00,40.959,17.97,4.332,0.19,-2.306,0.0,1,1,1,yellow,clear,highway,normal_driving,0.43873141434117036,0.0,0.19,0.0,4,0,0,0,1,0,0,0,0
EV_001,2026-01-01 07:00:00,43.071,44.536,-15.681,0.515,-4.772,0.147,6,3,1,red,clear,highway,normal_driving,1.034013605442177,15.681,0.515,0.147,15,0,1,0,1,0,0,0,0
EV_001,2026-01-01 07:05:00,53.94,58.82,11.285,0.759,17.565,0.214,3,2,0,green,clear,urban,lane_departure,1.0904708935854655,0.0,0.759,0.214,9,0,0,1,0,1,0,1,1
EV_001,2026-01-01 07:10:00,69.405,35.147,-8.375,0.134,4.743,0.208,1,0,1,none,clear,urban,normal_driving,0.5064044377206253,8.375,0.134,0.208,1,0,0,1,0,0,0,0,0
EV_001,2026-01-01 07:15:00,51.128,41.238,10.626,0.139,1.824,0.323,5,2,1,red,clear,highway,normal_driving,0.8065639180097012,0.0,0.139,0.323,11,0,1,0,1,0,0,0,0
EV_001,2026-01-01 07:20:00,42.462,15.505,16.45,-0.276,-0.885,0.128,10,3,0,yellow,snow,suburban,normal_driving,0.365150016485328,0.0,0.276,0.128,19,1,0,0,0,0,0,0,0
EV_001,2026-01-01 07:25:00,59.796,35.23,-4.229,0.147,4.953,0.152,9,0,1,yellow,clear,highway,normal_driving,0.5891698441367315,4.229,0.147,0.152,9,0,0,0,1,0,0,0,0
EV_001,2026-01-01 07:30:00,52.492,32.242,-4.644,0.147,6.68,0.182,5,1,1,red,clear,suburban,normal_driving,0.614226929817877,4.644,0.147,0.182,8,0,1,0,0,0,0,0,0
EV_001,2026-01-01 07:35:00,49.55,32.695,-6.537,-0.524,2.356,0.177,4,1,1,none,clear,urban,normal_driving,0.6598385469223007,6.537,0.524,0.177,7,0,0,1,0,0,0,0,0
EV_001,2026-01-01 07:40:00,56.517,34.681,14.891,0.472,6.524,0.227,5,0,1,none,rain,urban,normal_driving,0.61363837429446,0.0,0.472,0.227,5,1,0,1,0,0,0,0,0
EV_001,2026-01-01 07:45:00,49.818,31.709,-6.746,-0.034,1.92,0.041,8,1,1,red,clear,highway,normal_driving,0.6364968485286443,6.746,0.034,0.041,11,0,1,0,1,0,0,0,0
EV_001,2026-01-01 07:50:00,48.667,56.572,-15.168,0.043,4.132,0.134,5,0,1,red,clear,highway,normal_driving,1.1624303943123677,15.168,0.043,0.134,5,0,1,0,1,0,0,0,0
EV_001,2026-01-01 07:55:00,59.257,28.532,3.162,-0.143,1.414,0.16,1,0,1,green,clear,suburban,normal_driving,0.4814958570295493,0.0,0.143,0.16,1,0,0,0,0,0,0,0,0
EV_001,2026-01-01 08:00:00,51.354,68.522,-4.209,-0.004,0.407,0.06,3,2,1,none,clear,highway,normal_driving,1.3343069673248433,4.209,0.004,0.06,9,0,0,0,1,0,0,0,0
EV_001,2026-01-01 08:05:00,41.675,53.506,-10.665,0.604,0.32,0.178,2,0,1,green,rain,urban,normal_driving,1.283887222555489,10.665,0.604,0.178,2,1,0,1,0,0,0,0,0
EV_001,2026-01-01 08:10:00,60.146,55.397,1.412,1.34,10.014,0.157,7,1,1,green,clear,suburban,lane_departure,0.9210421308150167,0.0,1.34,0.157,10,0,0,0,0,0,0,0,1
EV_001,2026-01-01 08:15:00,56.472,69.37,2.585,-0.063,-1.167,0.025,3,2,1,yellow,clear,urban,normal_driving,1.2283963734239978,0.0,0.063,0.025,9,0,0,1,0,0,0,0,0
EV_001,2026-01-01 08:20:00,56.359,23.426,7.354,-0.167,7.493,0.236,7,2,1,none,clear,highway,normal_driving,0.4156567717667098,0.0,0.167,0.236,13,0,0,0,1,0,0,0,0
EV_001,2026-01-01 08:25:00,43.539,51.354,16.5,-0.267,0.097,0.263,8,0,1,yellow,clear,urban,normal_driving,1.1794942465375868,0.0,0.267,0.263,8,0,0,1,0,0,0,0,0
EV_001,2026-01-01 08:30:00,31.959,53.947,2.168,0.076,7.232,0.725,7,4,1,red,rain,highway,pedestrian_crossing,1.6880065083388092,0.0,0.076,0.725,19,1,1,0,1,1,0,1,1
EV_001,2026-01-01 08:35:00,66.98,38.526,3.23,-0.006,-3.615,0.176,4,1,1,none,clear,urban,normal_driving,0.5751866228724992,0.0,0.006,0.176,7,0,0,1,0,0,0,0,0
EV_001,2026-01-01 08:40:00,42.996,34.834,4.111,0.045,1.403,0.189,6,1,1,none,clear,highway,normal_driving,0.8101683877570007,0.0,0.045,0.189,9,0,0,0,1,0,0,0,0
EV_001,2026-01-01 08:45:00,48.576,43.642,2.656,0.468,2.838,0.115,11,2,0,none,fog,suburban,low_visibility,0.89842720685112,0.0,0.468,0.115,17,1,0,0,0,0,0,0,1
EV_001,2026-01-01 08:50:00,64.599,20.755,-8.429,-0.267,3.801,0.287,3,1,1,red,snow,suburban,normal_driving,0.32128980324772827,8.429,0.267,0.287,6,1,1,0,0,0,0,0,0
EV_001,2026-01-01 08:55:00,59.123,62.453,2.121,0.16,2.613,0.103,7,2,1,red,clear,highway,red_light_risk,1.0563232582920354,0.0,0.16,0.103,13,0,1,0,1,0,0,0,1
EV_001,2026-01-01 09:00:00,47.517,21.769,0.849,-0.117,-0.781,0.174,6,1,1,none,clear,suburban,normal_driving,0.458130774249216,0.0,0.117,0.174,9,0,0,0,0,0,0,0,0
EV_001,2026-01-01 09:05:00,26.388,23.383,-3.939,-0.336,-2.323,0.218,4,1,1,yellow,fog,highway,normal_driving,0.8861224799151128,3.939,0.336,0.218,7,1,0,0,1,0,0,0,0
EV_001,2026-01-01 09:10:00,59.126,56.533,6.732,-0.291,4.208,0.072,3,2,1,none,clear,urban,normal_driving,0.9561445049555188,0.0,0.291,0.072,9,0,0,1,0,0,0,0,0
EV_001,2026-01-01 09:15:00,57.321,32.721,7.358,0.028,-6.698,0.078,7,0,1,green,clear,urban,normal_driving,0.5708379128068247,0.0,0.028,0.078,7,0,0,1,0,0,0,0,0
EV_001,2026-01-01 09:20:00,61.705,58.763,-19.619,0.389,-0.744,0.089,5,1,1,green,clear,urban,normal_driving,0.9523215298598169,19.619,0.389,0.089,8,0,0,1,0,0,0,0,0
EV_001,2026-01-01 09:25:00,48.257,25.071,17.527,-0.345,-1.436,0.169,2,0,0,green,clear,urban,normal_driving,0.5195308452659718,0.0,0.345,0.169,2,0,0,1,0,0,0,0,0
EV_001,2026-01-01 09:30:00,53.146,51.459,-18.796,0.084,1.746,0.256,6,0,1,none,clear,suburban,normal_driving,0.9682572536032815,18.796,0.084,0.256,6,0,0,0,0,0,0,0,0
EV_001,2026-01-01 09:35:00,53.629,42.641,-1.188,0.184,-6.429,0.078,4,1,0,green,snow,urban,normal_driving,0.7951108542020175,1.188,0.184,0.078,7,1,0,1,0,0,0,0,0
EV_001,2026-01-01 09:40:00,54.78,50.959,-10.144,0.031,2.626,0.111,6,2,1,red,snow,highway,normal_driving,0.9302482657904345,10.144,0.031,0.111,12,1,1,0,1,0,0,0,0
EV_001,2026-01-01 09:45:00,63.524,57.827,-8.388,-0.3,-0.759,0.265,6,1,1,yellow,clear,urban,normal_driving,0.910317360367735,8.388,0.3,0.265,9,0,0,1,0,0,0,0,0
EV_001,2026-01-01 09:50:00,34.53,74.518,0.15,0.163,0.869,0.998,6,7,1,red,fog,urban,pedestrian_crossing,2.158065450333044,0.0,0.163,0.998,27,1,1,1,0,0,0,0,1
EV_001,2026-01-01 09:55:00,42.721,33.084,-8.818,-0.212,2.891,0.081,5,2,1,red,clear,urban,normal_driving,0.77442007443646,8.818,0.212,0.081,11,0,1,1,0,0,0,0,0
EV_001,2026-01-01 10:00:00,69.511,23.407,1.445,0.036,-2.477,0.175,4,0,1,yellow,clear,urban,normal_driving,0.33673807023348823,0.0,0.036,0.175,4,0,0,1,0,0,0,0,0
EV_001,2026-01-01 10:05:00,46.409,50.042,-3.788,0.55,-4.664,0.144,12,0,1,green,fog,suburban,low_visibility,1.0782822297399213,3.788,0.55,0.144,12,1,0,0,0,1,1,1,1
EV_001,2026-01-01 10:10:00,63.135,51.091,10.406,-0.047,8.209,0.215,4,1,0,none,rain,highway,normal_driving,0.8092341807238458,0.0,0.047,0.215,7,1,0,0,1,0,0,0,0
EV_001,2026-01-01 10:15:00,61.675,57.184,-5.255,-0.385,2.827,0.224,6,2,1,yellow,rain,urban,normal_driving,0.9271828131333604,5.255,0.385,0.224,12,1,0,1,0,0,0,0,0
EV_001,2026-01-01 10:20:00,32.445,27.164,1.479,0.115,2.952,0.159,5,0,1,green,clear,suburban,normal_driving,0.8372322391739868,0.0,0.115,0.159,5,0,0,0,0,0,0,0,0
EV_001,2026-01-01 10:25:00,54.958,30.45,7.865,-0.077,-3.985,0.145,2,1,1,yellow,clear,urban,normal_driving,0.5540594635903782,0.0,0.077,0.145,5,0,0,1,0,0,0,0,0
EV_001,2026-01-01 10:30:00,65.05,64.603,5.185,0.189,-0.394,0.115,4,1,1,red,clear,highway,normal_driving,0.9931283627978478,0.0,0.189,0.115,7,0,1,0,1,0,0,0,0
EV_001,2026-01-01 10:35:00,57.758,67.198,2.387,-0.159,1.167,0.135,5,1,1,red,rain,highway,normal_driving,1.1634405623463415,0.0,0.159,0.135,8,1,1,0,1,0,0,0,0
EV_001,2026-01-01 10:40:00,34.646,40.072,-3.536,-0.084,0.927,0.238,3,1,1,green,rain,highway,normal_driving,1.1566125959706748,3.536,0.084,0.238,6,1,0,0,1,0,0,0,0
EV_001,2026-01-01 10:45:00,77.588,56.795,8.221,0.033,2.079,0.305,4,3,1,yellow,clear,urban,normal_driving,0.7320075269371553,0.0,0.033,0.305,13,0,0,1,0,0,0,0,0
EV_001,2026-01-01 10:50:00,57.254,21.094,10.336,0.337,5.881,0.176,6,3,1,red,rain,suburban,normal_driving,0.36842840674887345,0.0,0.337,0.176,15,1,1,0,0,0,0,0,0
EV_001,2026-01-01 10:55:00,46.535,45.935,8.916,0.278,-0.019,0.212,2,0,1,none,clear,suburban,normal_driving,0.9871064789943055,0.0,0.278,0.212,2,0,0,0,0,0,0,0,0
